species,country,date,anomaly
Acacia saligna,AT,2016-06-19,Yes
Acacia saligna,AT,2019-05-26,Yes
Acacia saligna,BE,2021-02-14,Yes
Acacia saligna,BG,2022-11-13,Yes
Acacia saligna,CY,2017-04-23,Yes
Acacia saligna,CY,2021-05-02,Yes
Acacia saligna,DE,2020-07-12,Yes
Acacia saligna,DE,2023-05-07,Yes
Acacia saligna,DE,2023-10-22,Yes
Acacia saligna,DE,2024-03-17,Yes
Acacia saligna,DK,2022-01-30,Yes
Acacia saligna,DK,2022-11-13,Yes
Acacia saligna,ES,2022-03-13,Yes
Acacia saligna,ES,2022-03-20,Yes
Acacia saligna,FI,2017-11-26,Yes
Acacia saligna,FI,2021-10-31,Yes
Acacia saligna,FR,2016-01-10,Yes
Acacia saligna,FR,2016-05-08,Yes
Acacia saligna,FR,2020-06-14,Yes
Acacia saligna,GB,2016-09-18,Yes
Acacia saligna,GB,2017-09-10,Yes
Acacia saligna,GR,2017-08-13,Yes
Acacia saligna,GR,2018-01-28,Yes
Acacia saligna,GR,2019-12-01,Yes
Acacia saligna,GR,2024-06-02,Yes
Acacia saligna,HR,2022-01-02,Yes
Acacia saligna,HU,2017-04-30,Yes
Acacia saligna,IE,2017-02-05,Yes
Acacia saligna,IE,2022-10-02,Yes
Acacia saligna,IE,2023-03-19,Yes
Acacia saligna,IT,2022-04-24,Yes
Acacia saligna,IT,2023-03-05,Yes
Acacia saligna,IT,2023-03-19,Yes
Acacia saligna,IT,2023-03-26,Yes
Acacia saligna,LT,2016-01-17,Yes
Acacia saligna,LT,2019-04-21,Yes
Acacia saligna,LT,2019-12-22,Yes
Acacia saligna,LU,2016-04-17,Yes
Acacia saligna,LU,2019-07-28,Yes
Acacia saligna,LU,2020-04-05,Yes
Acacia saligna,MT,2017-02-12,Yes
Acacia saligna,MT,2021-04-11,Yes
Acacia saligna,MT,2022-10-30,Yes
Acacia saligna,NL,2016-05-01,Yes
Acacia saligna,NL,2021-10-31,Yes
Acacia saligna,NL,2022-04-10,Yes
Acacia saligna,NL,2022-08-07,Yes
Acacia saligna,PL,2020-07-26,Yes
Acacia saligna,PL,2024-05-26,Yes
Acacia saligna,PT,2021-08-08,Yes
Acacia saligna,RO,2016-01-10,Yes
Acacia saligna,RO,2019-04-14,Yes
Acacia saligna,SE,2021-07-18,Yes
Acacia saligna,SE,2021-11-07,Yes
