Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Ailanthus altissima;AT;Austria;1;1;26/05/2024;26/05/2024;1796;Yes
Ailanthus altissima;BE;Belgium;0;0;NA;NA;1952;Yes
Ailanthus altissima;BG;Bulgaria;0;0;NA;NA;1928;No
Ailanthus altissima;CY;Cyprus;0;0;NA;NA;1915;Yes
Ailanthus altissima;CZ;Czechia;0;0;NA;NA;1874;Yes
Ailanthus altissima;DE;Germany;0;0;NA;NA;1900;Yes
Ailanthus altissima;DK;Denmark;0;0;NA;NA;1992;Yes
Ailanthus altissima;EE;Estonia;1;1;07/08/2022;07/08/2022;1975;No
Ailanthus altissima;ES;Spain;0;0;NA;NA;1818;Yes
Ailanthus altissima;FI;Finland;0;0;NA;NA;NA;No
Ailanthus altissima;FR;France;0;0;NA;NA;1749;Yes
Ailanthus altissima;GB;United Kingdom;0;0;NA;NA;1935;No
Ailanthus altissima;GR;Greece;0;0;NA;NA;1910;Yes
Ailanthus altissima;HR;Croatia;1;1;05/09/2021;05/09/2021;2010;Yes
Ailanthus altissima;HU;Hungary;0;0;NA;NA;1841;Yes
Ailanthus altissima;IE;Ireland;0;0;NA;NA;2009;No
Ailanthus altissima;IT;Italy;0;0;NA;NA;1760;Yes
Ailanthus altissima;LT;Lithuania;0;0;NA;NA;NA;No
Ailanthus altissima;LU;Luxembourg;0;0;NA;NA;1875;No
Ailanthus altissima;LV;Latvia;0;0;NA;NA;2009;No
Ailanthus altissima;MT;Malta;0;0;NA;NA;1995;No
Ailanthus altissima;NL;Netherlands;0;0;NA;NA;1800;Yes
Ailanthus altissima;PL;Poland;0;0;NA;NA;1818;Yes
Ailanthus altissima;PT;Portugal;0;0;NA;NA;1962;Yes
Ailanthus altissima;RO;Romania;0;0;NA;NA;1866;Yes
Ailanthus altissima;SE;Sweden;0;0;NA;NA;1970;No
Ailanthus altissima;SI;Slovenia;0;0;NA;NA;1850;Yes
Ailanthus altissima;SK;Slovakia;0;0;NA;NA;1850;Yes
