Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Mycoastor coypus;AT;Austria;0;0;NA;NA;1935;Yes
Mycoastor coypus;BE;Belgium;0;0;NA;NA;1930;Yes
Mycoastor coypus;BG;Bulgaria;0;0;NA;NA;1953;Yes
Mycoastor coypus;CY;Cyprus;0;0;NA;NA;NA;No
Mycoastor coypus;CZ;Czechia;3;3;27/05/2018;27/12/2020;1924;Yes
Mycoastor coypus;DE;Germany;0;0;NA;NA;1880;Yes
Mycoastor coypus;DK;Denmark;0;0;NA;NA;1933;No
Mycoastor coypus;EE;Estonia;1;1;12/02/2023;12/02/2023;1971;No
Mycoastor coypus;ES;Spain;0;0;NA;NA;1970;Yes
Mycoastor coypus;FI;Finland;1;1;27/03/2016;27/03/2016;1967;No
Mycoastor coypus;FR;France;0;0;NA;NA;1882;Yes
Mycoastor coypus;GB;United Kingdom;0;0;NA;NA;1929;No
Mycoastor coypus;GR;Greece;0;0;NA;NA;1965;Yes
Mycoastor coypus;HR;Croatia;2;2;13/12/2020;24/11/2024;1936;Yes
Mycoastor coypus;HU;Hungary;0;0;NA;NA;2017;Yes
Mycoastor coypus;IE;Ireland;2;2;14/05/2017;17/03/2019;2010;No
Mycoastor coypus;IT;Italy;7;3;30/12/2018;20/08/2023;1928;Yes
Mycoastor coypus;LT;Lithuania;1;1;06/09/2020;06/09/2020;2020;No
Mycoastor coypus;LU;Luxembourg;0;0;NA;NA;1954;Yes
Mycoastor coypus;LV;Latvia;0;0;NA;NA;2020;Yes
Mycoastor coypus;MT;Malta;0;0;NA;NA;NA;No
Mycoastor coypus;NL;Netherlands;0;0;NA;NA;1930;No
Mycoastor coypus;PL;Poland;2;2;11/02/2018;06/01/2019;1948;Yes
Mycoastor coypus;PT;Portugal;0;0;NA;NA;1967;No
Mycoastor coypus;RO;Romania;3;3;21/05/2023;17/12/2023;1959;Yes
Mycoastor coypus;SE;Sweden;0;0;NA;No;1967;No
Mycoastor coypus;SI;Slovenia;3;2;21/05/2023;23/07/2023;1936;Yes
Mycoastor coypus;SK;Slovakia;1;1;24/03/2024;24/03/2024;1950;Yes
