Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Heracleum mantegazzium;AT;Austria;0;0;NA;NA;1991;Yes
Heracleum mantegazzium;BE;Belgium;0;0;NA;NA;1945;Yes
Heracleum mantegazzium;BG;Bulgaria;0;0;NA;NA;2017;No
Heracleum mantegazzium;CY;Cyprus;0;0;NA;NA;NA;No
Heracleum mantegazzium;CZ;Czechia;0;0;NA;NA;1877;Yes
Heracleum mantegazzium;DE;Germany;0;0;NA;NA;1943;Yes
Heracleum mantegazzium;DK;Denmark;0;0;NA;NA;1887;Yes
Heracleum mantegazzium;EE;Estonia;0;0;NA;NA;1814;No
Heracleum mantegazzium;ES;Spain;0;0;NA;NA;2012;No
Heracleum mantegazzium;FI;Finland;0;0;NA;NA;1970;Yes
Heracleum mantegazzium;FR;France;0;0;NA;NA;1930;Yes
Heracleum mantegazzium;GB;United Kingdom;0;0;NA;NA;1817;No
Heracleum mantegazzium;GR;Greece;0;0;NA;NA;2018;No
Heracleum mantegazzium;HR;Croatia;1;1;27/05/2018;27/05/2018;2009;No
Heracleum mantegazzium;HU;Hungary;3;3;10/06/2018;02/07/2023;1962;Yes
Heracleum mantegazzium;IE;Ireland;1;1;04/08/2019;04/08/2019;1866;Yes
Heracleum mantegazzium;IT;Italy;0;0;NA;NA;1905;Yes
Heracleum mantegazzium;LT;Lithuania;0;0;NA;NA;2020;No
Heracleum mantegazzium;LU;Luxembourg;0;0;NA;NA;1934;No
Heracleum mantegazzium;LV;Latvia;0;0;NA;NA;1923;Yes
Heracleum mantegazzium;MT;Malta;0;0;NA;NA;NA;No
Heracleum mantegazzium;NL;Netherlands;0;0;NA;NA;1895;Yes
Heracleum mantegazzium;PL;Poland;0;0;NA;NA;1973;Yes
Heracleum mantegazzium;PT;Portugal;0;0;NA;NA;2013;No
Heracleum mantegazzium;RO;Romania;0;0;NA;NA;2021;No
Heracleum mantegazzium;SE;Sweden;1;1;07/07/2019;07/07/2019;1894;Yes
Heracleum mantegazzium;SI;Slovenia;1;1;03/12/2017;03/12/2017;1980;No
Heracleum mantegazzium;SK;Slovakia;2;2;31/07/2016;14/07/2024;1963;Yes
