Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Heracleum sosnowskyi;AT;Austria;0;0;NA;NA;NA;No
Heracleum sosnowskyi;BE;Belgium;0;0;NA;NA;2017;No
Heracleum sosnowskyi;BG;Bulgaria;0;0;NA;NA;2018;No
Heracleum sosnowskyi;CY;Cyprus;0;0;NA;NA;NA;No
Heracleum sosnowskyi;CZ;Czechia;0;0;NA;NA;2016;No
Heracleum sosnowskyi;DE;Germany;0;0;NA;NA;1963;Yes
Heracleum sosnowskyi;DK;Denmark;0;0;NA;NA;1993;No
Heracleum sosnowskyi;EE;Estonia;0;0;NA;NA;1957;Yes
Heracleum sosnowskyi;ES;Spain;0;0;NA;NA;NA;No
Heracleum sosnowskyi;FI;Finland;0;0;NA;NA;2013;No
Heracleum sosnowskyi;FR;France;0;0;NA;NA;NA;No
Heracleum sosnowskyi;GB;United Kingdom;0;0;NA;NA;NA;No
Heracleum sosnowskyi;GR;Greece;0;0;NA;NA;NA;No
Heracleum sosnowskyi;HR;Croatia;0;0;NA;NA;NA;No
Heracleum sosnowskyi;HU;Hungary;0;0;NA;NA;2004;Yes
Heracleum sosnowskyi;IE;Ireland;0;0;NA;NA;NA;No
Heracleum sosnowskyi;IT;Italy;0;0;NA;NA;2012;No
Heracleum sosnowskyi;LT;Lithuania;2;1;16/07/2017;16/07/2017;1987;Yes
Heracleum sosnowskyi;LU;Luxembourg;0;0;NA;NA;NA;No
Heracleum sosnowskyi;LV;Latvia;0;0;NA;NA;1948;Yes
Heracleum sosnowskyi;MT;Malta;0;0;NA;NA;NA;No
Heracleum sosnowskyi;NL;Netherlands;0;0;NA;NA;2020;No
Heracleum sosnowskyi;PL;Poland;4;3;18/06/2017;23/06/2019;1980;Yes
Heracleum sosnowskyi;PT;Portugal;0;0;NA;NA;2018;No
Heracleum sosnowskyi;RO;Romania;0;0;NA;NA;1975;No
Heracleum sosnowskyi;SE;Sweden;0;0;NA;NA;2022;No
Heracleum sosnowskyi;SI;Slovenia;0;0;NA;NA;NA;No
Heracleum sosnowskyi;SK;Slovakia;0;0;NA;NA;2016;No
