Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Impatiens glandulifera;AT;Austria;0;0;NA;NA;1898;Yes
Impatiens glandulifera;BE;Belgium;0;0;NA;NA;1891;Yes
Impatiens glandulifera;BG;Bulgaria;0;0;NA;NA;1978;Yes
Impatiens glandulifera;CY;Cyprus;0;0;NA;NA;NA;No
Impatiens glandulifera;CZ;Czechia;0;0;NA;NA;1896;Yes
Impatiens glandulifera;DE;Germany;0;0;NA;NA;1909;Yes
Impatiens glandulifera;DK;Denmark;0;0;NA;NA;1888;Yes
Impatiens glandulifera;EE;Estonia;1;1;07/08/2022;07/08/2022;1939;Yes
Impatiens glandulifera;ES;Spain;0;0;NA;NA;2006;Yes
Impatiens glandulifera;FI;Finland;0;0;NA;NA;1947;Yes
Impatiens glandulifera;FR;France;0;0;NA;NA;1839;Yes
Impatiens glandulifera;GB;United Kingdom;0;0;NA;NA;1839;No
Impatiens glandulifera;GR;Greece;0;0;NA;NA;2019;No
Impatiens glandulifera;HR;Croatia;0;0;NA;NA;1968;Yes
Impatiens glandulifera;HU;Hungary;0;0;NA;NA;1920;Yes
Impatiens glandulifera;IE;Ireland;0;0;NA;NA;1906;Yes
Impatiens glandulifera;IT;Italy;0;0;NA;NA;1916;Yes
Impatiens glandulifera;LT;Lithuania;0;0;NA;NA;1959;Yes
Impatiens glandulifera;LU;Luxembourg;0;0;NA;NA;1897;No
Impatiens glandulifera;LV;Latvia;1;1;09/01/2022;09/01/2022;1898;Yes
Impatiens glandulifera;MT;Malta;0;0;NA;NA;NA;No
Impatiens glandulifera;NL;Netherlands;0;0;NA;NA;1845;Yes
Impatiens glandulifera;PL;Poland;0;0;NA;NA;1850;Yes
Impatiens glandulifera;PT;Portugal;0;0;NA;NA;NA;No
Impatiens glandulifera;RO;Romania;0;0;NA;NA;1882;Yes
Impatiens glandulifera;SE;Sweden;2;2;28/02/2021;15/05/2022;1918;Yes
Impatiens glandulifera;SI;Slovenia;1;1;22/11/2020;22/11/2020;1900;Yes
Impatiens glandulifera;SK;Slovakia;0;0;NA;NA;1958;Yes
