Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Ondathra zibethicus;AT;Austria;0;0;NA;NA;1905;Yes
Ondathra zibethicus;BE;Belgium;0;0;NA;NA;1928;Yes
Ondathra zibethicus;BG;Bulgaria;0;0;NA;NA;1956;Yes
Ondathra zibethicus;CY;Cyprus;0;0;NA;NA;NA;No
Ondathra zibethicus;CZ;Czechia;0;0;NA;NA;1905;Yes
Ondathra zibethicus;DE;Germany;0;0;NA;NA;1914;Yes
Ondathra zibethicus;DK;Denmark;0;0;NA;NA;1989;No
Ondathra zibethicus;EE;Estonia;0;0;NA;NA;1947;Yes
Ondathra zibethicus;ES;Spain;0;0;NA;NA;2004;Yes
Ondathra zibethicus;FI;Finland;0;0;NA;NA;1919;Yes
Ondathra zibethicus;FR;France;0;0;NA;NA;1928;Yes
Ondathra zibethicus;GB;United Kingdom;0;0;NA;NA;1927;No
Ondathra zibethicus;GR;Greece;0;0;NA;NA;NA;No
Ondathra zibethicus;HR;Croatia;0;0;NA;NA;1932;Yes
Ondathra zibethicus;HU;Hungary;0;0;NA;NA;1905;Yes
Ondathra zibethicus;IE;Ireland;0;0;NA;NA;1929;No
Ondathra zibethicus;IT;Italy;0;0;NA;NA;1993;Yes
Ondathra zibethicus;LT;Lithuania;0;0;NA;NA;1954;Yes
Ondathra zibethicus;LU;Luxembourg;0;0;NA;NA;1954;Yes
Ondathra zibethicus;LV;Latvia;0;0;NA;NA;1961;Yes
Ondathra zibethicus;MT;Malta;0;0;NA;NA;NA;No
Ondathra zibethicus;NL;Netherlands;0;0;NA;NA;1941;Yes
Ondathra zibethicus;PL;Poland;0;0;NA;NA;1920;Yes
Ondathra zibethicus;PT;Portugal;0;0;NA;NA;NA;No
Ondathra zibethicus;RO;Romania;0;0;NA;NA;1905;Yes
Ondathra zibethicus;SE;Sweden;0;0;NA;NA;1950;Yes
Ondathra zibethicus;SI;Slovenia;0;0;NA;NA;1933;No
Ondathra zibethicus;SK;Slovakia;0;0;NA;NA;1925;No
