Species;Country;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Nasua nasua;AT;Austria;0;0;NA;NA;NA;No
Nasua nasua;BE;Belgium;0;0;NA;NA;2016;No
Nasua nasua;BG;Bulgaria;0;0;NA;NA;NA;No
Nasua nasua;CY;Cyprus;0;0;NA;NA;NA;No
Nasua nasua;CZ;Czechia;0;0;NA;NA;NA;No
Nasua nasua;DE;Germany;0;0;NA;NA;2016;No
Nasua nasua;DK;Denmark;0;0;NA;NA;2019;No
Nasua nasua;EE;Estonia;0;0;NA;NA;NA;No
Nasua nasua;ES;Spain;0;0;NA;NA;2003;Yes
Nasua nasua;FI;Finland;0;0;NA;NA;NA;No
Nasua nasua;FR;France;0;0;NA;NA;NA;No
Nasua nasua;GB;United Kingdom;0;0;NA;NA;2003;No
Nasua nasua;GR;Greece;0;0;NA;NA;NA;No
Nasua nasua;HR;Croatia;0;0;NA;NA;NA;No
Nasua nasua;HU;Hungary;0;0;NA;NA;2024;No
Nasua nasua;IE;Ireland;0;0;NA;NA;NA;No
Nasua nasua;IT;Italy;0;0;NA;NA;NA;No
Nasua nasua;LT;Lithuania;0;0;NA;NA;NA;No
Nasua nasua;LU;Luxembourg;0;0;NA;NA;NA;No
Nasua nasua;LV;Latvia;0;0;NA;NA;NA;No
Nasua nasua;MT;Malta;0;0;NA;NA;NA;No
Nasua nasua;NL;Netherlands;0;0;NA;NA;NA;No
Nasua nasua;PL;Poland;0;0;NA;NA;NA;No
Nasua nasua;PT;Portugal;0;0;NA;NA;NA;No
Nasua nasua;RO;Romania;0;0;NA;NA;NA;No
Nasua nasua;SE;Sweden;1;1;22/09/2019;22/09/2019;NA;No
Nasua nasua;SI;Slovenia;0;0;NA;NA;NA;No
Nasua nasua;SK;Slovakia;0;0;NA;NA;NA;No
