Species;Code;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Procyon lotor;AT;Austria;7;4;30/12/2018;26/12/2021;1974;Yes
Procyon lotor;BE;Belgium;2;2;30/12/2018;29/12/2019;1986;Yes
Procyon lotor;BG;Bulgaria;9;4;30/12/2018;22/05/2022;NA;No
Procyon lotor;CY;Cyprus;1;1;29/12/2019;29/12/2019;NA;No
Procyon lotor;CZ;Czechia;3;3;30/12/2018;27/12/2020;1925;Yes
Procyon lotor;DE;Germany;10;4;30/12/2018;27/12/2020;1927;Yes
Procyon lotor;DK;Denmark;1;1;29/09/2019;29/09/2019;1978;Yes
Procyon lotor;EE;Estonia;6;3;29/09/2019;14/04/2024;NA;No
Procyon lotor;ES;Spain;0;0;NA;NA;1998;Yes
Procyon lotor;FI;Finland;5;4;30/12/2018;25/06/2023;NA;No
Procyon lotor;FR;France;2;2;30/12/2018;29/12/2019;1934;Yes
Procyon lotor;GB;United Kingdom;6;4;10/06/2018;29/12/2019;1980;No
Procyon lotor;GR;Greece;10;4;30/12/2018;14/04/2024;2014;No
Procyon lotor;HR;Croatia;4;3;29/12/2019;26/12/2021;1937;Yes
Procyon lotor;HU;Hungary;7;3;30/12/2018;27/12/2020;1982;Yes
Procyon lotor;IE;Ireland;6;4;10/06/2018;27/12/2020;2011;No
Procyon lotor;IT;Italy;2;2;30/12/2018;29/12/2019;2004;Yes
Procyon lotor;LT;Lithuania;6;3;28/08/2016;12/01/2020;2011;No
Procyon lotor;LU;Luxembourg;8;2;30/12/2018;27/12/2020;1977;Yes
Procyon lotor;LV;Latvia;6;2;29/12/2019;14/04/2024;NA;No
Procyon lotor;MT;Malta;1;1;03/12/2023;03/12/2023;NA;No
Procyon lotor;NL;Netherlands;5;3;29/12/2019;14/04/2024;1960;No
Procyon lotor;PL;Poland;1;1;30/12/2018;30/12/2018;1930;Yes
Procyon lotor;PT;Portugal;0;0;NA;NA;NA;No
Procyon lotor;RO;Romania;7;4;27/08/2020;14/04/2024;NA;Yes
Procyon lotor;SE;Sweden;4;2;30/12/2018;29/12/2019;2010;No
Procyon lotor;SI;Slovenia;3;1;26/12/2021;26/12/2021;1990;Yes
Procyon lotor;SK;Slovakia;5;4;30/12/2018;26/12/2021;1993;Yes
