Species;Code;name;Number of peaks;Number of anomalies;First date of peaks;last date of peaks;First record;Established
Nyctereutes procyonides;AT;Austria;0;0;NA;NA;1963;Yes
Nyctereutes procyonides;BE;Belgium;0;0;NA;NA;2010;No
Nyctereutes procyonides;BG;Bulgaria;0;0;NA;NA;1968;Yes
Nyctereutes procyonides;CY;Cyprus;0;0;NA;NA;NA;No
Nyctereutes procyonides;CZ;Czechia;1;1;01/01/2023;01/01/2023;1963;Yes
Nyctereutes procyonides;DE;Germany;0;0;NA;NA;1961;No
Nyctereutes procyonides;DK;Denmark;9;4;18/02/2018;23/05/2021;1980;Yes
Nyctereutes procyonides;EE;Estonia;1;1;29/12/2019;29/12/2019;1950;Yes
Nyctereutes procyonides;ES;Spain;0;0;NA;NA;2008;No
Nyctereutes procyonides;FI;Finland;1;1;09/07/2017;09/07/2017;1935;Yes
Nyctereutes procyonides;FR;France;0;0;NA;NA;1979;Yes
Nyctereutes procyonides;GB;United Kingdom;1;1;26/05/2019;26/05/2019;1927;No
Nyctereutes procyonides;GR;Greece;0;0;NA;NA;2009;Yes
Nyctereutes procyonides;HR;Croatia;1;1;26/04/2020;26/04/2020;1982;No
Nyctereutes procyonides;HU;Hungary;0;0;NA;NA;1961;Yes
Nyctereutes procyonides;IE;Ireland;0;0;NA;NA;NA;No
Nyctereutes procyonides;IT;Italy;0;0;NA;NA;1989;Yes
Nyctereutes procyonides;LT;Lithuania;1;1;21/04/2024;21/04/2024;1948;Yes
Nyctereutes procyonides;LU;Luxembourg;1;1;07/02/2021;07/02/2021;2021;No
Nyctereutes procyonides;LV;Latvia;0;0;NA;NA;1947;Yes
Nyctereutes procyonides;MT;Malta;0;0;NA;NA;NA;No
Nyctereutes procyonides;NL;Netherlands;0;0;NA;NA;1981;No
Nyctereutes procyonides;PL;Poland;3;3;11/11/2018;26/12/2021;1955;Yes
Nyctereutes procyonides;PT;Portugal;0;0;NA;NA;NA;No
Nyctereutes procyonides;RO;Romania;0;0;NA;NA;1951;Yes
Nyctereutes procyonides;SE;Sweden;1;1;16/10/2022;16/10/2022;1945;Yes
Nyctereutes procyonides;SI;Slovenia;0;0;NA;NA;1980;Yes
Nyctereutes procyonides;SK;Slovakia;0;0;NA;NA;1959;No
