species,country,name,established,first_record
Mycoastor coypus,AT,Austria,Yes,1935
Mycoastor coypus,BE,Belgium,Yes,1930
Mycoastor coypus,BG,Bulgaria,Yes,1953
Mycoastor coypus,CY,Cyprus,No,NA
Mycoastor coypus,CZ,Czechia,Yes,1924
Mycoastor coypus,DE,Germany,Yes,1880
Mycoastor coypus,DK,Denmark,No,1933
Mycoastor coypus,EE,Estonia,No,1971
Mycoastor coypus,ES,Spain,Yes,1970
Mycoastor coypus,FI,Finland,No,1967
Mycoastor coypus,FR,France,Yes,1882
Mycoastor coypus,GB,United Kingdom,No,1929
Mycoastor coypus,GR,Greece,Yes,1965
Mycoastor coypus,HR,Croatia,Yes,1936
Mycoastor coypus,HU,Hungary,Yes,2017
Mycoastor coypus,IE,Ireland,No,2010
Mycoastor coypus,IT,Italy,Yes,1928
Mycoastor coypus,LT,Lithuania,No,2020
Mycoastor coypus,LU,Luxembourg,Yes,1954
Mycoastor coypus,LV,Latvia,Yes,2020
Mycoastor coypus,MT,Malta,No,NA
Mycoastor coypus,NL,Netherlands,No,1930
Mycoastor coypus,PL,Poland,Yes,1948
Mycoastor coypus,PT,Portugal,No,1967
Mycoastor coypus,RO,Romania,Yes,1959
Mycoastor coypus,SE,Sweden,No,1967
Mycoastor coypus,SI,Slovenia,Yes,1936
Mycoastor coypus,SK,Slovakia,Yes,1950
