species,country,name,established,first_record
Heracleum mantegazzium,AT,Austria,Yes,1991
Heracleum mantegazzium,BE,Belgium,Yes,1945
Heracleum mantegazzium,BG,Bulgaria,No,2017
Heracleum mantegazzium,CY,Cyprus,No,NA
Heracleum mantegazzium,CZ,Czechia,Yes,1877
Heracleum mantegazzium,DE,Germany,Yes,1943
Heracleum mantegazzium,DK,Denmark,Yes,1887
Heracleum mantegazzium,EE,Estonia,No,1814
Heracleum mantegazzium,ES,Spain,No,2012
Heracleum mantegazzium,FI,Finland,Yes,1970
Heracleum mantegazzium,FR,France,Yes,1930
Heracleum mantegazzium,GB,United Kingdom,No,1817
Heracleum mantegazzium,GR,Greece,No,2018
Heracleum mantegazzium,HR,Croatia,No,2009
Heracleum mantegazzium,HU,Hungary,Yes,1962
Heracleum mantegazzium,IE,Ireland,Yes,1866
Heracleum mantegazzium,IT,Italy,Yes,1905
Heracleum mantegazzium,LT,Lithuania,No,2020
Heracleum mantegazzium,LU,Luxembourg,No,1934
Heracleum mantegazzium,LV,Latvia,Yes,1923
Heracleum mantegazzium,MT,Malta,No,NA
Heracleum mantegazzium,NL,Netherlands,Yes,1895
Heracleum mantegazzium,PL,Poland,Yes,1973
Heracleum mantegazzium,PT,Portugal,No,2013
Heracleum mantegazzium,RO,Romania,No,2021
Heracleum mantegazzium,SE,Sweden,Yes,1894
Heracleum mantegazzium,SI,Slovenia,No,1980
Heracleum mantegazzium,SK,Slovakia,Yes,1963
