species,country,name,established,first_record
Ondathra zibethicus,AT,Austria,Yes,1905
Ondathra zibethicus,BE,Belgium,Yes,1928
Ondathra zibethicus,BG,Bulgaria,Yes,1956
Ondathra zibethicus,CY,Cyprus,No,NA
Ondathra zibethicus,CZ,Czechia,Yes,1905
Ondathra zibethicus,DE,Germany,Yes,1914
Ondathra zibethicus,DK,Denmark,No,1989
Ondathra zibethicus,EE,Estonia,Yes,1947
Ondathra zibethicus,ES,Spain,Yes,2004
Ondathra zibethicus,FI,Finland,Yes,1919
Ondathra zibethicus,FR,France,Yes,1928
Ondathra zibethicus,GB,United Kingdom,No,1927
Ondathra zibethicus,GR,Greece,No,NA
Ondathra zibethicus,HR,Croatia,Yes,1932
Ondathra zibethicus,HU,Hungary,Yes,1905
Ondathra zibethicus,IE,Ireland,No,1929
Ondathra zibethicus,IT,Italy,Yes,1993
Ondathra zibethicus,LT,Lithuania,Yes,1954
Ondathra zibethicus,LU,Luxembourg,Yes,1954
Ondathra zibethicus,LV,Latvia,Yes,1961
Ondathra zibethicus,MT,Malta,No,NA
Ondathra zibethicus,NL,Netherlands,Yes,1941
Ondathra zibethicus,PL,Poland,Yes,1920
Ondathra zibethicus,PT,Portugal,No,NA
Ondathra zibethicus,RO,Romania,Yes,1905
Ondathra zibethicus,SE,Sweden,Yes,1950
Ondathra zibethicus,SI,Slovenia,No,1933
Ondathra zibethicus,SK,Slovakia,No,1925
