species,country,name,established,first_record
Nyctereutes procyonides,AT,Austria,Yes,1963
Nyctereutes procyonides,BE,Belgium,No,2010
Nyctereutes procyonides,BG,Bulgaria,Yes,1968
Nyctereutes procyonides,CY,Cyprus,No,NA
Nyctereutes procyonides,CZ,Czechia,Yes,1963
Nyctereutes procyonides,DE,Germany,No,1961
Nyctereutes procyonides,DK,Denmark,Yes,1980
Nyctereutes procyonides,EE,Estonia,Yes,1950
Nyctereutes procyonides,ES,Spain,No,2008
Nyctereutes procyonides,FI,Finland,Yes,1935
Nyctereutes procyonides,FR,France,Yes,1979
Nyctereutes procyonides,GB,United Kingdom,No,1927
Nyctereutes procyonides,GR,Greece,Yes,2009
Nyctereutes procyonides,HR,Croatia,No,1982
Nyctereutes procyonides,HU,Hungary,Yes,1961
Nyctereutes procyonides,IE,Ireland,No,NA
Nyctereutes procyonides,IT,Italy,Yes,1989
Nyctereutes procyonides,LT,Lithuania,Yes,1948
Nyctereutes procyonides,LU,Luxembourg,No,2021
Nyctereutes procyonides,LV,Latvia,Yes,1947
Nyctereutes procyonides,MT,Malta,No,NA
Nyctereutes procyonides,NL,Netherlands,No,1981
Nyctereutes procyonides,PL,Poland,Yes,1955
Nyctereutes procyonides,PT,Portugal,No,NA
Nyctereutes procyonides,RO,Romania,Yes,1951
Nyctereutes procyonides,SE,Sweden,Yes,1945
Nyctereutes procyonides,SI,Slovenia,Yes,1980
Nyctereutes procyonides,SK,Slovakia,No,1959
